SMILES,site1,site2,BDE_DFT,Exptl.BDE,type
CCCC(C)=O,2,3,83.87,83.3,C-C
CCCC(C)C,1,2,87.33,86.9,C-C
CCCC(C)C,2,3,85.62,86.6,C-C
CCCC(C)C,3,4,87.27,88.9,C-C
CCCC(C)C(C)C,3,5,82.37,84.1,C-C
CCCC(C)CC,2,3,85.09,85.7,C-C
CCCC(C)O,2,3,85,86.1,C-C
CCCC(CC)CC,2,3,84.82,85.5,C-C
CCCC1CCCC1,2,3,84.05,84.4,C-C
CCCC1CCCCC1,2,3,86.46,87.8,C-C
CCCC=O,1,2,81.72,79.8,C-C
CCCC=O,2,3,84.29,82.7,C-C
CCCCC,3,4,89.18,88.8,C-C
CCCCC,2,3,87.53,87.3,C-C
CCCCC(=O)O,3,4,95.23,89.7,C-C
CCCCC(C)=O,2,3,83.25,82.4,C-C
CCCCC(C)=O,3,4,83.86,82.9,C-C
CCCCC(C)C,2,3,87.59,84.2,C-C
CCCCC(C)C,3,4,85.55,86.1,C-C
CCCCC(C)CCCC,3,4,84.78,87.4,C-C
CCCCC=O,2,3,82.07,80.9,C-C
CCCCC=O,3,4,84.31,83.2,C-C
CCCCCC,0,1,89.25,88.1,C-C
CCCCCC,1,2,87.47,86.9,C-C
CCCCCC,2,3,87.8,87.5,C-C
CCCCCC(C)(C)C,3,4,87.33,81.8,C-C
CCCCCC(C)C,3,4,87.48,86.8,C-C
CCCCCC(C)C,4,5,85.57,85.5,C-C
CCCCCCC,0,1,89.2,88,C-C
CCCCCCC,1,2,87.47,86.3,C-C
CCCCCCC,2,3,87.67,87.3,C-C
CCCCCCC(=O)O,5,6,95.18,89.7,C-C
CCCCCCC=O,4,5,81.92,78.5,C-C
CCCCCCC=O,5,6,84.25,81,C-C
CCCCCCCC,1,2,87.46,86.2,C-C
CCCCCCCC,2,3,87.7,86.7,C-C
CCCCCCCC,3,4,87.58,87,C-C
CCCCCCCC(C)C,5,6,87.53,86.8,C-C
CCCCCCCCCCCC,5,6,87.08,85,C-C
CCCCCCCO,5,6,85.29,85.1,C-C
CCCCCCO,4,5,85.8,84.4,C-C
CCCCCO,3,4,85.77,85,C-C
CCCCO,2,3,85.87,85.4,C-C
CCCCc1ccccc1,2,3,77.56,76.6,C-C
CCCCc1ccccc1,3,4,101.18,100.6,C-C
CCCO,1,2,85.69,85.3,C-C
CCCOCC,1,2,86.31,85.3,C-C
CCCc1ccccc1,1,2,77.34,76.2,C-C
CCCc1ccccc1,2,3,101.29,100.8,C-C
CCO,0,1,87.27,87.2,C-C
CCOC,0,1,87.46,86.8,C-C
CCc1cc(C)cc(C)c1,0,1,78.53,73.5,C-C
CCc1cc(C)ccc1C,0,1,77.94,72.5,C-C
CCc1cccc2ccccc12,0,1,77.5,72.9,C-C
CCc1ccccc1,0,1,78.75,77.7,C-C
CCc1ccccc1,1,2,100.72,100.2,C-C
CCc1ccccc1C,0,1,78.07,72.9,C-C
CCc1ccco1,0,1,75.74,75,C-C
COC(=O)C(=O)OC,2,4,86.54,88.4,C-C
COC(=O)C(C)c1ccccc1,2,4,80.74,77.1,C-C
COC(=O)CO,2,4,92.01,88.5,C-C
COC(=O)c1ccccc1,2,4,107.33,104.4,C-C
COC(C)=O,2,3,95.29,92.6,C-C
COCCOC,2,3,82.22,81,C-C
Cc1ccc2ccccc2c1,0,1,103.16,105.3,C-C
Cc1cccc2ccccc12,0,1,103.12,103.8,C-C
Cc1ccccc1,0,1,102.61,102,C-C
NCC(=O)O,1,2,88.59,83.5,C-C
NCCC(=O)O,1,2,79.78,77.8,C-C
NCCO,1,2,82.12,80.2,C-C
O=C(C(=O)c1ccccc1)c1ccccc1,1,2,71.84,68.9,C-C
O=C(Cc1ccccc1)c1ccccc1,1,2,72.53,72.5,C-C
O=C(O)CCC(=O)O,1,3,83.22,81.9,C-C
O=C(O)CO,1,3,92.69,88.8,C-C
O=C(O)c1ccc2ccccc2c1,1,3,108.65,104.8,C-C
O=C(O)c1cccc2ccccc12,1,3,105.77,102.8,C-C
O=C(O)c1ccccc1,1,3,108.31,102.7,C-C
O=C(c1ccccc1)c1ccccc1,1,2,95.81,94.7,C-C
O=CC=O,1,2,71.38,70.7,C-C
OCCO,1,2,85.49,85.6,C-C
c1ccc(-c2ccccc2)cc1,3,4,115.66,114.4,C-C
c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,4,5,71.64,77.5,C-C
c1ccc(C(c2ccccc2)c2ccccc2)cc1,3,4,83.59,86.3,C-C
c1ccc(C2(C3(c4ccccc4)c4ccccc4-c4ccccc43)c3ccccc3-c3ccccc32)cc1,4,5,29.96,15.2,C-C
c1ccc(C2CC2)cc1,3,4,110.59,109.8,C-C
c1ccc(C2CCCCC2)cc1,3,4,99.58,98.7,C-C
c1ccc(CC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,4,5,50.25,56.1,C-C
c1ccc(CCc2ccccc2)cc1,4,5,67.8,65.2,C-C
c1ccc(Cc2ccccc2)cc1,3,4,90.15,91.7,C-C
O=C1Oc2ccccc2C1(c1ccccc1)C1(c2ccccc2)C(=O)Oc2ccccc21,9,16,32.52,23.6,C-C
O=C(O)Cc1ccccc1,1,3,82.69,67,C-C
O=C(O)C(=O)O,1,3,90.79,80,C-C
O=C(O)C(c1ccccc1)c1ccccc1,1,3,74.88,59.4,C-C
O=C(O)C1CCCN1,1,3,87.87,74.6,C-C
O=C(Cc1ccccc1)Cc1ccccc1,1,2,74,65.4,C-C
CNCC(=O)O,2,3,87.54,71.8,C-C
CCCCCC(=O)O,4,5,95.25,88.8,C-C
CC(C)CC(C)(C)C,3,4,81.92,81.3,C-C
CC(C)c1ccccc1,0,1,76.9,76.2,C-C
CC(=O)CC(C)=O,1,3,77.39,80.8,C-C
CC#CC(C)(C)C,3,4,76.01,72.5,C-C
C=CCC=O,1,2,92.27,97.1,C-C
C=C(C)CCC,3,4,76.02,73.2,C-C
C1CCC(C2CCCCC2)CC1,3,4,83.89,88.2,C-C
